Date,Price,Open,High,Low,Vol.,Change %,SMA_10,EMA_10,RSI_14,MACD,MACD_Signal,MACD_Diff
2020-12-29,-0.49131013270275214,-0.44151506184960576,-0.4555562415896385,-0.5636405755210598,7.369039193847626,-11.14,-0.46913520904109507,-0.46941576668365576,36.74442158790452,-0.5181837361016339,-0.524269680101307,-0.08525832467633865
2020-12-28,-0.44173379576976524,-0.3795268723994673,-0.3560352331802709,-0.4456114383416239,2.1813045410979868,-12.19,-0.48238574140133444,-0.46560870112742014,43.99465455489853,-0.46587413760970486,-0.5187074348359685,0.06789790853033585
2020-12-27,-0.3800308728243931,-0.3604123586497128,-0.3531282621442584,-0.38828300028304075,2.234676296784712,-3.64,-0.4760997745673664,-0.4512187401402664,51.452836542635204,-0.37051725234508437,-0.49394639916381655,0.3024364130812224
2020-12-26,-0.3609493330696104,-0.3186105248418384,-0.3262815296352022,-0.3569959115386506,2.4374889683942658,-7.42,-0.46374213522331575,-0.4359583306643806,53.514479962139184,-0.2759069536642404,-0.45398535585371846,0.48812452077058827
2020-12-25,-0.3188629463207438,-0.28323974238902166,-0.22881250078066692,-0.3616796074584695,5.639794309597746,-5.81,-0.44900940045620336,-0.41578201784538027,57.77383855732124,-0.16493949027009824,-0.39838019211415016,0.6792380509875646
2020-12-24,-0.28390984546151565,-0.4215073465227599,-0.24197936959084096,-0.4360566986651934,6.184186217602337,29.72,-0.42883001829034023,-0.39288708080768425,60.9722121996773,-0.048008853786716786,-0.32898956222396813,0.8476456718319683
2020-12-23,-0.42193892742601863,-0.08852179858311122,-0.11715061333854136,-0.48701531027282285,8.18028988028584,-41.78,-0.4217940213227739,-0.39937716889084357,46.11701669609509,-0.06324006811994354,-0.2767213425680505,0.6384728851325532
2020-12-22,-0.08863614423266444,0.03223905463963691,0.008704132691174296,-0.13442668142885733,2.394791563844886,-13.05,-0.3842746567825274,-0.34378220727169057,67.01534034302372,0.1873628288270578,-0.1815277640046092,1.1628626655380832
2020-12-21,0.031203058713260658,0.10655342585363592,0.09009932169952321,0.04692602458652983,0.9110567557539397,-7.53,-0.3315582531067507,-0.2763969814138425,71.32211019585985,0.47617303095405367,-0.04385565300151406,1.6817938722862469
2020-12-20,0.10574589625998206,0.14335333082979873,0.11968202694835584,0.11024959342248124,0.5481288170842119,-3.51,-0.269948634989735,-0.2076422643046167,73.6286634707506,0.7561446608461712,0.12591664740694586,2.0739399533363647
2020-12-19,0.14194732214989692,0.1555008722782409,0.14806774412353618,0.17113764038012666,0.8363362977925252,-1.18,-0.20653537298001842,-0.14477325137997116,74.69319388908325,0.9959671281071121,0.31281723384983245,2.283184520671638
